intent,question,answer
greeting,hello,Hello! How can I assist you today?
greeting,hello!,Hello! How can I assist you today?
greeting,Can you hello?,Hello! How can I assist you today?
greeting,hello please.,Hello! How can I assist you today?
greeting,"hello, please?",Hello! How can I assist you today?
greeting,hi,Hello! How can I assist you today?
greeting,hi!,Hello! How can I assist you today?
greeting,Can you hi?,Hello! How can I assist you today?
greeting,hi please.,Hello! How can I assist you today?
greeting,"hi, please?",Hello! How can I assist you today?
greeting,hey,Hello! How can I assist you today?
greeting,hey!,Hello! How can I assist you today?
greeting,Can you hey?,Hello! How can I assist you today?
greeting,hey please.,Hello! How can I assist you today?
greeting,"hey, please?",Hello! How can I assist you today?
greeting,good morning,Hello! How can I assist you today?
greeting,good morning!,Hello! How can I assist you today?
greeting,Can you good morning?,Hello! How can I assist you today?
greeting,good morning please.,Hello! How can I assist you today?
greeting,"good morning, please?",Hello! How can I assist you today?
greeting,good afternoon,Hello! How can I assist you today?
greeting,good afternoon!,Hello! How can I assist you today?
greeting,Can you good afternoon?,Hello! How can I assist you today?
greeting,good afternoon please.,Hello! How can I assist you today?
greeting,"good afternoon, please?",Hello! How can I assist you today?
greeting,good evening,Hello! How can I assist you today?
greeting,good evening!,Hello! How can I assist you today?
greeting,Can you good evening?,Hello! How can I assist you today?
greeting,good evening please.,Hello! How can I assist you today?
greeting,"good evening, please?",Hello! How can I assist you today?
greeting,howdy,Hello! How can I assist you today?
greeting,howdy!,Hello! How can I assist you today?
greeting,Can you howdy?,Hello! How can I assist you today?
greeting,howdy please.,Hello! How can I assist you today?
greeting,"howdy, please?",Hello! How can I assist you today?
greeting,what's up,Hello! How can I assist you today?
greeting,what's up!,Hello! How can I assist you today?
greeting,Can you what's up?,Hello! How can I assist you today?
greeting,what's up please.,Hello! How can I assist you today?
greeting,"what's up, please?",Hello! How can I assist you today?
farewell,bye,Goodbye! Have a great day!
farewell,bye!,Goodbye! Have a great day!
farewell,Can you bye?,Goodbye! Have a great day!
farewell,bye please.,Goodbye! Have a great day!
farewell,"bye, please?",Goodbye! Have a great day!
farewell,goodbye,Goodbye! Have a great day!
farewell,goodbye!,Goodbye! Have a great day!
farewell,Can you goodbye?,Goodbye! Have a great day!
farewell,goodbye please.,Goodbye! Have a great day!
farewell,"goodbye, please?",Goodbye! Have a great day!
farewell,see you later,Goodbye! Have a great day!
farewell,see you later!,Goodbye! Have a great day!
farewell,Can you see you later?,Goodbye! Have a great day!
farewell,see you later please.,Goodbye! Have a great day!
farewell,"see you later, please?",Goodbye! Have a great day!
farewell,take care,Goodbye! Have a great day!
farewell,take care!,Goodbye! Have a great day!
farewell,Can you take care?,Goodbye! Have a great day!
farewell,take care please.,Goodbye! Have a great day!
farewell,"take care, please?",Goodbye! Have a great day!
farewell,farewell,Goodbye! Have a great day!
farewell,farewell!,Goodbye! Have a great day!
farewell,Can you farewell?,Goodbye! Have a great day!
farewell,farewell please.,Goodbye! Have a great day!
farewell,"farewell, please?",Goodbye! Have a great day!
farewell,catch you later,Goodbye! Have a great day!
farewell,catch you later!,Goodbye! Have a great day!
farewell,Can you catch you later?,Goodbye! Have a great day!
farewell,catch you later please.,Goodbye! Have a great day!
farewell,"catch you later, please?",Goodbye! Have a great day!
thanks,thank you,You're welcome! Happy to help.
thanks,thank you!,You're welcome! Happy to help.
thanks,Can you thank you?,You're welcome! Happy to help.
thanks,thank you please.,You're welcome! Happy to help.
thanks,"thank you, please?",You're welcome! Happy to help.
thanks,thanks,You're welcome! Happy to help.
thanks,thanks!,You're welcome! Happy to help.
thanks,Can you thanks?,You're welcome! Happy to help.
thanks,thanks please.,You're welcome! Happy to help.
thanks,"thanks, please?",You're welcome! Happy to help.
thanks,I appreciate it,You're welcome! Happy to help.
thanks,I appreciate it!,You're welcome! Happy to help.
thanks,Can you I appreciate it?,You're welcome! Happy to help.
thanks,I appreciate it please.,You're welcome! Happy to help.
thanks,"I appreciate it, please?",You're welcome! Happy to help.
thanks,much obliged,You're welcome! Happy to help.
thanks,much obliged!,You're welcome! Happy to help.
thanks,Can you much obliged?,You're welcome! Happy to help.
thanks,much obliged please.,You're welcome! Happy to help.
thanks,"much obliged, please?",You're welcome! Happy to help.
thanks,I'm grateful,You're welcome! Happy to help.
thanks,I'm grateful!,You're welcome! Happy to help.
thanks,Can you I'm grateful?,You're welcome! Happy to help.
thanks,I'm grateful please.,You're welcome! Happy to help.
thanks,"I'm grateful, please?",You're welcome! Happy to help.
thanks,cheers,You're welcome! Happy to help.
thanks,cheers!,You're welcome! Happy to help.
thanks,Can you cheers?,You're welcome! Happy to help.
thanks,cheers please.,You're welcome! Happy to help.
thanks,"cheers, please?",You're welcome! Happy to help.
help,help me,Sure! How can I assist you?
